% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi	ccId
681	2	3	96	0	20	161	0	1	1
682	1	8	71	0	20	161	0	1	0
682	1	10	63	0	20	161	0	1	0
682	2	15	12	0	20	161	0	1	1
682	2	5	20	0	20	161	0	1	1
683	1	4	78	0	20	161	0	1	0
683	1	12	82	0	20	161	0	1	0
683	2	7	29	0	20	161	0	1	1
683	2	9	39	0	20	161	0	1	1
684	1	1	87	0	20	161	0	1	0
684	1	6	91	0	20	161	0	1	0
684	2	2	50	0	20	161	0	1	1
684	2	11	58	0	20	161	0	1	1
685	1	3	96	0	20	161	0	1	0
685	1	13	94	0	20	161	0	1	0
685	2	10	63	0	20	161	0	1	1
685	2	8	71	0	20	161	0	1	1
686	1	14	1	0	20	161	0	1	0
686	1	15	12	0	20	161	0	1	0
686	2	4	78	0	20	161	0	1	1
686	2	12	82	0	20	161	0	1	1
687	1	5	20	0	20	161	0	1	0
687	1	7	29	0	20	161	0	1	0
687	2	1	87	0	20	161	0	1	1
687	2	6	91	0	20	161	0	1	1
688	1	2	50	0	20	161	0	1	0
688	1	9	39	0	20	161	0	1	0
688	2	13	94	0	20	161	0	1	1
688	2	3	96	0	20	161	0	1	1
689	1	10	63	0	20	161	0	1	0
689	1	11	58	0	20	161	0	1	0
689	2	14	1	0	20	161	0	1	1
689	2	15	12	0	20	161	0	1	1
690	1	4	78	0	20	161	0	1	0
690	1	8	71	0	20	161	0	1	0
690	2	5	20	0	20	161	0	1	1
690	2	7	29	0	20	161	0	1	1
691	1	1	87	0	20	161	0	1	0
691	1	12	82	0	20	161	0	1	0
691	2	9	39	0	20	161	0	1	1
691	2	2	50	0	20	161	0	1	1
692	1	6	91	0	20	161	0	1	0
692	1	13	94	0	20	161	0	1	0
692	2	11	58	0	20	161	0	1	1
692	2	10	63	0	20	161	0	1	1
693	1	3	96	0	20	161	0	1	0
693	1	14	1	0	20	161	0	1	0
693	2	8	71	0	20	161	0	1	1
693	2	4	78	0	20	161	0	1	1
694	1	5	20	0	20	161	0	1	0
694	1	15	12	0	20	161	0	1	0
694	2	12	82	0	20	161	0	1	1
694	2	1	87	0	20	161	0	1	1
695	1	7	29	0	20	161	0	1	0
695	1	9	39	0	20	161	0	1	0
695	2	6	91	0	20	161	0	1	1
695	2	13	94	0	20	161	0	1	1
696	1	2	50	0	20	161	0	1	0
696	1	11	58	0	20	161	0	1	0
696	2	14	1	0	20	161	0	1	1
696	2	3	96	0	20	161	0	1	1
697	1	8	71	0	20	161	0	1	0
697	1	10	63	0	20	161	0	1	0
697	2	15	12	0	20	161	0	1	1
697	2	5	20	0	20	161	0	1	1
698	1	4	78	0	20	161	0	1	0
698	1	12	82	0	20	161	0	1	0
698	2	7	29	0	20	161	0	1	1
698	2	9	39	0	20	161	0	1	1
699	1	1	87	0	20	161	0	1	0
699	1	6	91	0	20	161	0	1	0
699	2	2	50	0	20	161	0	1	1
699	2	11	58	0	20	161	0	1	1
700	1	3	96	0	20	161	0	1	0
700	1	13	94	0	20	161	0	1	0
700	2	10	63	0	20	161	0	1	1
700	2	8	71	0	20	161	0	1	1
701	1	14	1	0	20	161	0	1	0
701	1	15	12	0	20	161	0	1	0
701	2	4	78	0	20	161	0	1	1
701	2	12	82	0	20	161	0	1	1
702	1	5	20	0	20	161	0	1	0
702	1	7	29	0	20	161	0	1	0
702	2	1	87	0	20	161	0	1	1
702	2	6	91	0	20	161	0	1	1
