% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi	ccId
756	2	3	96	0	28	549	0	1	1
757	1	8	71	0	28	549	0	1	0
757	2	8	71	0	28	549	0	1	1
758	1	7	29	0	28	549	0	1	0
758	2	7	29	0	28	549	0	1	1
759	1	4	78	0	28	549	0	1	0
759	2	4	78	0	28	549	0	1	1
760	1	9	39	0	28	549	0	1	0
760	2	9	39	0	28	549	0	1	1
761	1	12	82	0	28	549	0	1	0
761	2	12	82	0	28	549	0	1	1
762	1	2	50	0	28	549	0	1	0
762	2	2	50	0	28	549	0	1	1
763	1	14	1	0	28	549	0	1	0
763	2	14	1	0	28	549	0	1	1
764	1	1	87	0	28	549	0	1	0
764	2	1	87	0	28	549	0	1	1
765	1	11	58	0	28	549	0	1	0
765	2	11	58	0	28	549	0	1	1
766	1	15	12	0	28	549	0	1	0
766	2	15	12	0	28	549	0	1	1
767	1	6	91	0	28	549	0	1	0
767	2	6	91	0	28	549	0	1	1
768	1	10	63	0	28	549	0	1	0
768	2	10	63	0	28	549	0	1	1
769	1	5	20	0	28	549	0	1	0
769	2	5	20	0	28	549	0	1	1
770	1	13	94	0	28	549	0	1	0
1627	2	1	1	0	0	81	0	1	0
770	2	13	94	0	28	549	0	1	1
771	1	3	96	0	28	549	0	1	0
771	2	3	96	0	28	549	0	1	1
772	1	8	71	0	28	549	0	1	0
1642	2	1	1	0	28	2196	0	1	0
772	2	8	71	0	28	549	0	1	1
1643	2	1	1	0	28	2196	0	1	0
1644	2	1	1	0	28	2196	0	1	0
1645	2	1	1	0	28	2196	0	1	0
1646	2	1	1	0	28	2196	0	1	0
1647	2	1	1	0	28	2196	0	1	0
773	1	7	29	0	28	549	0	1	0
1648	2	1	1	0	28	2196	0	1	0
773	2	7	29	0	28	549	0	1	1
1649	2	1	1	0	28	2196	0	1	0
1650	2	1	1	0	28	2196	0	1	0
1651	2	1	1	0	28	2196	0	1	0
1652	2	1	1	0	28	2196	0	1	0
774	1	4	78	0	28	549	0	1	0
1653	2	1	1	0	28	2196	0	1	0
774	2	4	78	0	28	549	0	1	1
1654	2	1	1	0	28	2196	0	1	0
1655	2	1	1	0	28	2196	0	1	0
1656	2	1	1	0	28	2196	0	1	0
1657	2	1	1	0	28	2196	0	1	0
1658	2	1	1	0	28	2196	0	1	0
775	1	9	39	0	28	549	0	1	0
775	2	9	39	0	28	549	0	1	1
1659	2	1	1	0	28	2196	0	1	0
1660	2	1	1	0	28	2196	0	1	0
776	1	12	82	0	28	549	0	1	0
1661	2	1	1	0	28	2196	0	1	0
776	2	12	82	0	28	549	0	1	1
1662	2	1	1	0	28	2196	0	1	0
1663	2	1	1	0	28	2196	0	1	0
1664	2	1	1	0	28	2196	0	1	0
777	1	2	50	0	28	549	0	1	0
1665	2	1	1	0	28	2196	0	1	0
777	2	2	50	0	28	549	0	1	1
1666	2	1	1	0	28	2196	0	1	0
1667	2	1	1	0	28	2196	0	1	0
778	1	14	1	0	28	549	0	1	0
1668	2	1	1	0	28	2196	0	1	0
778	2	14	1	0	28	549	0	1	1
1669	2	1	1	0	28	2196	0	1	0
1670	2	1	1	0	28	2196	0	1	0
1671	2	1	1	0	28	2196	0	1	0
779	1	1	87	0	28	549	0	1	0
1672	2	1	1	0	28	2196	0	1	0
779	2	1	87	0	28	549	0	1	1
1673	2	1	1	0	28	2196	0	1	0
1674	2	1	1	0	28	2196	0	1	0
1675	2	1	1	0	28	2196	0	1	0
780	1	11	58	0	28	549	0	1	0
780	2	11	58	0	28	549	0	1	1
1676	2	1	1	0	28	2196	0	1	0
1677	2	1	1	0	28	2196	0	1	0
1678	2	1	1	0	28	2196	0	1	0
1679	2	1	1	0	28	2196	0	1	0
781	1	15	12	0	28	549	0	1	0
781	2	15	12	0	28	549	0	1	1
1680	2	1	1	0	28	2196	0	1	0
1681	2	1	1	0	28	2196	0	1	0
782	1	6	91	0	28	549	0	1	0
782	2	6	91	0	28	549	0	1	1
1682	2	1	1	0	28	2196	0	1	0
1683	2	1	1	0	28	2196	0	1	0
1684	2	1	1	0	28	2196	0	1	0
1685	2	1	1	0	28	2196	0	1	0
783	1	10	63	0	28	549	0	1	0
783	2	10	63	0	28	549	0	1	1
1686	2	1	1	0	28	2196	0	1	0
1687	2	1	1	0	28	2196	0	1	0
784	1	5	20	0	28	549	0	1	0
784	2	5	20	0	28	549	0	1	1
1688	2	1	1	0	28	2196	0	1	0
1689	2	1	1	0	28	2196	0	1	0
1690	2	1	1	0	28	2196	0	1	0
1691	2	1	1	0	28	2196	0	1	0
785	1	13	94	0	28	549	0	1	0
785	2	13	94	0	28	549	0	1	1
1692	2	1	1	0	28	2196	0	1	0
1693	2	1	1	0	28	2196	0	1	0
786	1	3	96	0	28	549	0	1	0
786	2	3	96	0	28	549	0	1	1
1694	2	1	1	0	28	2196	0	1	0
1695	2	1	1	0	28	2196	0	1	0
1696	2	1	1	0	28	2196	0	1	0
1697	2	1	1	0	28	2196	0	1	0
787	1	8	71	0	28	549	0	1	0
1698	2	1	1	0	28	2196	0	1	0
787	2	8	71	0	28	549	0	1	1
1699	2	1	1	0	28	2196	0	1	0
1700	2	1	1	0	28	2196	0	1	0
788	1	7	29	0	28	549	0	1	0
788	2	7	29	0	28	549	0	1	1
1701	2	1	1	0	28	2196	0	1	0
1702	2	1	1	0	28	2196	0	1	0
1703	2	1	1	0	28	2196	0	1	0
1704	2	1	1	0	28	2196	0	1	0
1705	2	1	1	0	28	2196	0	1	0
789	1	4	78	0	28	549	0	1	0
789	2	4	78	0	28	549	0	1	1
1706	2	1	1	0	28	2196	0	1	0
790	1	9	39	0	28	549	0	1	0
1707	2	1	1	0	28	2196	0	1	0
790	2	9	39	0	28	549	0	1	1
1708	2	1	1	0	28	2196	0	1	0
1709	2	1	1	0	28	2196	0	1	0
791	1	12	82	0	28	549	0	1	0
791	2	12	82	0	28	549	0	1	1
1710	2	1	1	0	28	2196	0	1	0
1711	2	1	1	0	28	2196	0	1	0
792	1	2	50	0	28	549	0	1	0
792	2	2	50	0	28	549	0	1	1
1712	2	1	1	0	28	2196	0	1	0
1713	2	1	1	0	28	2196	0	1	0
793	1	14	1	0	28	549	0	1	0
793	2	14	1	0	28	549	0	1	1
1714	2	1	1	0	28	2196	0	1	0
1715	2	1	1	0	28	2196	0	1	0
794	1	1	87	0	28	549	0	1	0
794	2	1	87	0	28	549	0	1	1
1716	2	1	1	0	28	2196	0	1	0
1717	2	1	1	0	28	2196	0	1	0
795	1	11	58	0	28	549	0	1	0
1718	2	1	1	0	28	2196	0	1	0
795	2	11	58	0	28	549	0	1	1
1719	2	1	1	0	28	2196	0	1	0
796	1	15	12	0	28	549	0	1	0
1720	2	1	1	0	28	2196	0	1	0
796	2	15	12	0	28	549	0	1	1
1721	2	1	1	0	28	2196	0	1	0
1722	2	1	1	0	28	2196	0	1	0
1723	2	1	1	0	28	2196	0	1	0
797	1	6	91	0	28	549	0	1	0
797	2	6	91	0	28	549	0	1	1
1724	2	1	1	0	28	2196	0	1	0
1725	2	1	1	0	28	2196	0	1	0
1726	2	1	1	0	28	2196	0	1	0
798	1	10	63	0	28	549	0	1	0
798	2	10	63	0	28	549	0	1	1
1727	2	1	1	0	28	2196	0	1	0
1728	2	1	1	0	28	2196	0	1	0
1729	2	1	1	0	28	2196	0	1	0
799	1	5	20	0	28	549	0	1	0
799	2	5	20	0	28	549	0	1	1
1730	2	1	1	0	28	2196	0	1	0
1731	2	1	1	0	28	2196	0	1	0
1732	2	1	1	0	28	2196	0	1	0
800	1	13	94	0	28	549	0	1	0
800	2	13	94	0	28	549	0	1	1
1733	2	1	1	0	28	2196	0	1	0
1734	2	1	1	0	28	2196	0	1	0
801	1	3	96	0	28	549	0	1	0
801	2	3	96	0	28	549	0	1	1
1735	2	1	1	0	28	2196	0	1	0
1736	2	1	1	0	28	2196	0	1	0
802	1	8	71	0	28	549	0	1	0
1737	2	1	1	0	28	2196	0	1	0
802	2	8	71	0	28	549	0	1	1
1738	2	1	1	0	28	2196	0	1	0
803	1	7	29	0	28	549	0	1	0
1739	2	1	1	0	28	2196	0	1	0
803	2	7	29	0	28	549	0	1	1
1740	2	1	1	0	28	2196	0	1	0
804	1	4	78	0	28	549	0	1	0
804	2	4	78	0	28	549	0	1	1
1741	2	1	1	0	28	2196	0	1	0
1742	2	1	1	0	28	2196	0	1	0
1743	2	1	1	0	28	2196	0	1	0
805	1	9	39	0	28	549	0	1	0
805	2	9	39	0	28	549	0	1	1
1744	2	1	1	0	28	2196	0	1	0
806	1	12	82	0	28	549	0	1	0
806	2	12	82	0	28	549	0	1	1
